mobygames_id	en_wikipedia_id
bakutotsu-kijtei-baraduke-ii	Bakutotsu_Kij%C5%ABtei
ballblazer	Ballblazer
baltic-1985	Baltic_1985:_Corridor_to_Berlin
bang-bang-ball	Bang_Bang_Ball
bank-panic	Bank_Panic
barbarian	Barbarian_(1987_video_game)
barmy-burgers	Barmy_Burgers
baseball-stars-2_	Baseball_Stars_2
baseball-stars-professional	Baseball_Stars_Professional
basketball	Basketball_(1978_video_game)
batman__	Batman_(1989_Ocean_video_game)
batman_	Batman_(1986_video_game)
batman-the-caped-crusader	Batman:_The_Caped_Crusader
battle-bakraid	Battle_Bakraid
battle-chess	Battle_Chess
battle-chopper_	Mr._Heli
battle-cross	Battle_Cross_(1982_video_game)
battle-for-midway	The_Battle_For_Midway
battle-garegga	Battle_Garegga
battle-of-britain__	Battle_of_Britain_(video_game)
battle-of-the-bulge-tigers-in-the-snow	Tigers_in_the_Snow
battle-of-the-planets	List_of_Gatchaman_video_games#Battle_of_the_Planets
battlecars	Battlecars_(video_game)
battles-of-napoleon	Battles_of_Napoleon
battletech-the-crescent-hawks-inception	BattleTech:_The_Crescent_Hawk%27s_Inception
battletoads__	Battletoads_Arcade
battlezone_	Battlezone_(1980_video_game)
batty_	Batty_(video_game)
batty	Batty_(video_game)
bazooka-bill	Bazooka_Bill
bc-ii-grogs-revenge	B.C._II:_Grog%27s_Revenge
bcs-quest-for-tires	B.C.%27s_Quest_for_Tires
beach-buggy-simulator	Beach_Buggy_Simulator
beach-head-ii-the-dictator-strikes-back	Beach_Head_II:_The_Dictator_Strikes_Back
beach-head	Beach_Head_(video_game)
beach-volley	Beach_Volley
beaky-and-the-egg-snatchers	Beaky_and_the_Egg_Snatchers
beamrider	Beamrider
bear-bovver	Bear_Bovver
beast-busters	Beast_Busters
bee-52	Bee_52
belegost	Belegost_(video_game)
ben-bero-beh	Ben_Bero_Beh
beneath-apple-manor	Beneath_Apple_Manor
benny-hills-madcap-chase	Benny_Hill's_Madcap_Chase
berlinwall_	The_Berlin_Wall_(video_game)
berzerk	Berzerk_(video_game)
beyond-castle-wolfenstein	Beyond_Castle_Wolfenstein
beyond-the-black-hole	Beyond_the_Black_Hole_(video_game)
beyond-the-ice-palace	Beyond_the_Ice_Palace
big-karnak	Big_Karnak
big-trouble-in-little-china	Big_Trouble_in_Little_China_(video_game)
bio-ship-paladin	Bio-ship_Paladin
biomechanical-toy	Biomechanical_Toy
bionic-commando	Bionic_Commando_(arcade)
bismarck	Bismarck_(video_game)
black-gold_	Black_Gold_(video_game)
black-lamp	Black_Lamp_(video_game)
black-magic_	Black_Magic_(video_game)
blade-master	Blade_Master
blade-runner_	Blade_Runner_(1985_video_game)
blagger	Blagger_(video_game)
blasteroids	Blasteroids
blazeon	BlaZeon
blazing-star	Blazing_Star
blockout	Blockout
blood-bros	Blood_Bros.
blood-money	Blood_Money_(video_game)
blood-warrior	Blood_Warrior
bloodstorm	BloodStorm
bloodwych	Bloodwych
blue-hawk	Blue_Hawk_(video_game)
blue-max-2001	Blue_Max_(video_game)
blue-max	Blue_Max_(video_game)
blue-thunder	Airwolf_(video_game)
blueprint	Blue_Print_(video_game)
blues-journey	Blue%27s_Journey
bmx-simulator	BMX_Simulator
bobby-bearing	Bobby_Bearing
boggit-bored-too	The_Boggit
bomb-bee	Bomb_Bee
bomb-jack	Bomb_Jack
bonanza-bros	Bonanza_Bros.
bonka	Bonka
bonze-adventure	Bonze_Adventure
boot-camp	Combat_School
boot-hill	Boot_Hill_(video_game)
booty	Booty_(video_game)
bopn-wrestle	Rock%27n_Wrestle
border-zone	Border_Zone_(video_game)
bored-of-the-rings	Bored_of_the_Rings_(video_game)
borrowed-time	Borrowed_Time_(video_game)
bosconian-87	Bosconian_'87
boulder-dash_	Boulder_Dash
boulder-dash-iii	Boulder_Dash_III
boulder-dash	Boulder_Dash
bounces	Bounces_(video_game)
bounty-bob-strikes-back	Bounty_Bob_Strikes_Back!
brain-strainers	Brain_Strainers
bravestarr	BraveStarr
breakthru_	BreakThru_(video_game)
brian-bloodaxe	Brian_Bloodaxe
brian-jacks-superstar-challenge	Brian_Jacks_Superstar_Challenge
broadsides	Broadsides_(video_game)
bruce-lee	Bruce_Lee_(video_game)
bubble-bobble	Bubble_Bobble
bubble-dizzy	Bubble_Dizzy
bubble-ghost	Bubble_Ghost
bubbler	Bubbler_(video_game)
bubbles	Bubbles_(video_game)
buck-rogers-countdown-to-doomsday	Buck_Rogers:_Countdown_to_Doomsday
buck-rogers-planet-of-zoom	Buck_Rogers#Planet_of_Zoom_video_game
bugaboo-the-flea	Bugaboo_(The_Flea)
buggy-ranger	Buggy_Boy
bugsy	Bugsy_(video_game)
bumpy	Bumpy_(video_game)
burgertime	BurgerTime
burning-force	Burning_Force
bust-a-move__	Puzzle_Bobble
bust-a-move-again	Puzzle_Bobble_2
buster-bros	Pang_(video_game)
by-fair-means-or-foul	By_Fair_Means_or_Foul
cabal	Cabal_(video_game)
cadash	Cadash
cadillacs-and-dinosaurs	Cadillacs_and_Dinosaurs_(video_game)
caliber50	Caliber_.50
canyon-climber	Canyon_Climber
captain-america-and-the-avengers	Captain_America_and_The_Avengers
captain-america-in-the-doom-tube-of-dr-megalomann	Captain_America_in:_The_Doom_Tube_of_Dr._Megalomann
captain-blood	Captain_Blood_(video_game)
captain-commando	Captain_Commando
captain-dynamo	Captain_Dynamo_(video_game)
captain-planet	Captain_Planet_and_the_Planeteers_(video_game)
captain-zapp	Flash_Gordon_(video_game)
capture-the-flag_	Capture_the_Flag_(video_game)
card-sharks_	Card_Sharks_(video_game)
carnival	Carnival_(video_game)
carrier-air-wing	Carrier_Air_Wing_(video_game)
carrier-command	Carrier_Command
carriers-at-war-1941-1945-fleet-carrier-operations-in-the-pacifi	Carriers_at_War
castle-master	Castle_Master
castle-of-terror	Castle_of_Terror
castle-wolfenstein	Castle_Wolfenstein
castles-of-dr-creep	The_Castles_of_Dr._Creep
catalypse	Catalypse
cauldron-ii-the-pumpkin-strikes-back	Cauldron_II:_The_Pumpkin_Strikes_Back
cauldron	Cauldron_(video_game)
caverns-of-mars	Caverns_of_Mars
centipede_	Centipede_(video_game)
champion-boxing	Champion_Boxing
champions-of-krynn	Champions_of_Krynn
championship-3d-snooker	Championship_3D_Snooker
championship-baseball	Championship_Baseball
championship-lode-runner	Championship_Lode_Runner
championship-sprint	Super_Sprint
chaos	Chaos:_The_Battle_of_Wizards
charlie-and-the-chocolate-factory_	Charlie_and_the_Chocolate_Factory_video_games#Charlie_and_the_Chocolate_Factory_(1985)
chase-hq	Chase_H.Q.
chequered-flag	Chequered_Flag_(video_game)
chessmaster-2000	Chessmaster_2000
chiller	Chiller_(video_game)
chimera	Chimera_(video_game)
cholo	Cholo_(video_game)
chop-n-drop	International_Karate_%2B
chop-n-drop	International_Karate_+
choplifter	Choplifter
chronicles-of-osgorth-the-shattered-alliance	The_Shattered_Alliance
chronos-a-tapestry-of-time	Chronos_(video_game)
chuck-rock	Chuck_Rock
chuck-yeagers-advanced-flight-simulator	Chuck_Yeager's_Advanced_Flight_Trainer
chuck-yeagers-advanced-flight-simulator	Chuck_Yeager%27s_Advanced_Flight_Trainer
chuckie-egg-ii	Chuckie_Egg_2
chuckie-egg	Chuckie_Egg
circus-charlie	Circus_Charlie
cisco-heat-all-american-police-car-race	Cisco_Heat
city-connection_	City_Connection
cjs-elephant-antics	CJ's_Elephant_Antics
cjs-elephant-antics	CJ%27s_Elephant_Antics
cliffhanger-edward-randy	The_Cliffhanger:_Edward_Randy
cloud-kingdoms	Cloud_Kingdoms
codename-mat	Codename_MAT
colonial-conquest	Colonial_Conquest
colony_	Colony_(video_game)
colossal-adventure	Jewels_of_Darkness
colossal-cave-adventure___	Colossal_Cave_Adventure
colossus-chess-20	Colossus_Chess
colossus-chess-4	Colossus_Chess
colour-of-magic	The_Colour_of_Magic_(video_game)
columns	Columns_(video_game)
combatribes	The_Combatribes
commando	Commando_(video_game)
computer-baseball	Computer_Baseball
computer-football-strategy	Computer_Football_Strategy
conan-hall-of-volta	Conan:_Hall_of_Volta
conflict	Conflict:_Middle_East_Political_Simulator
confuzion	Confuzion
congo-bongo	Congo_Bongo
contact-sam-cruise	Contact_Sam_Cruise
continental-circus	Continental_Circus
contra	Contra_(video_game)
cookie	Cookie_(video_game)
cops-n-robbers	Cops_%27n%27_Robbers
corridors-of-genon	Corridors_of_Genon
cosmic-avenger	Cosmic_Avenger
cosmic-balance-ii	Cosmic_Balance_II
cosmic-cruiser	Cosmic_Cruiser
cosmic-guerilla__	Cosmic_Guerilla
cosmic-guerilla	Cosmic_Guerilla
cosmic-wartoad	Cosmic_Wartoad
cosmo-gang-the-video	Cosmo_Gang_the_Video
count-duckula-2-featuring-tremendous-terence	Count_Duckula_2
crack-down	Crack_Down
crazy-balloon__	Crazy_Balloon
crazy-comets	Crazy_Comets
crime-and-punishment	Crime_and_Punishment_(video_game)
crime-fighters	Crime_Fighters
crimson-crown	Transylvania_(series)
crossbow	Crossbow_(video_game)
crossed-swords	Crossed_Swords_(video_game)
crossfire	Crossfire_(1981_video_game)
crosswize	Crosswize
cruisn-world	Cruis%27n_World
crush-crumble-and-chomp	Crush,_Crumble_and_Chomp!
crystal-castles	Crystal_Castles_(video_game)
crystal-kingdom-dizzy	Crystal_Kingdom_Dizzy
curse-of-sherwood	The_Curse_of_Sherwood
curse-of-the-azure-bonds	Curse_of_the_Azure_Bonds
cuthbert-goes-walkabout	Cuthbert_Goes_Walkabout
cutie-q	Cutie_Q
cutthroats	Cutthroats_(video_game)
cyber-lip	Cyber-Lip
cyberball	Cyberball
cybernoid-ii-the-revenge	Cybernoid_II:_The_Revenge
cybernoid-the-fighting-machine	Cybernoid
cybertron-mission	Cybertron_Mission
cyberun	Cyberun
cycles-international-grand-prix-racing	The_Cycles:_International_Grand_Prix_Racing
cyclone	Cyclone_(video_game)
cytron-masters	Cytron_Masters
d-d-crew	D._D._Crew
dalek-attack	Dalek_Attack
daley-thompsons-decathlon	Daley_Thompson's_Decathlon
daley-thompsons-decathlon	Daley_Thompson%27s_Decathlon
dam-busters	The_Dam_Busters_(video_game)
dan-dare-pilot-of-the-future_	Dan_Dare:_Pilot_of_the_Future
dan-dare-pilot-of-the-future	Dan_Dare:_Pilot_of_the_Future
dandy_	Dandy_(video_game)
dandy	Dandy_(video_game)
dangerous-seed	Dangerous_Seed
daredevil-denis_	Daredevil_Dennis
darius	Darius_(video_game)
dark-fusion	Dark_Fusion
dark-sceptre	Dark_Sceptre
dark-side	Dark_Side_(video_game)
darkman	Darkman_(video_game)
darkstalkers-the-night-warriors	Darkstalkers:_The_Night_Warriors
davids-midnight-magic	David%27s_Midnight_Magic
days-of-thunder	Days_of_Thunder_(video_game)
deactivators	Deactivators
dead-angle	Dead_Angle
dead-connection	Dead_Connection
death-bringer	Death_Bringer
death-knights-of-krynn	Death_Knights_of_Krynn
death-or-glory	Death_or_Glory_(video_game)
death-sword	Barbarian:_The_Ultimate_Warrior
death-wish-3	Death_Wish_3_(video_game)
deathchase	Deathchase
deathlord	Deathlord
decisive-battles-of-the-american-civil-war-volume-one	Decisive_Battles_of_the_American_Civil_War_Volume_1:_Bull_Run_to_Chancellorsville
defender	Defender_(1981_video_game)
deflektor	Deflektor
deliverance-stormlord-ii	Deliverance:_Stormlord_II
delta-patrol	Delta_(video_game)
demon-attack	Demon_Attack
demon-stalkers	Demon_Stalkers
demons-winter	Demon%27s_Winter
denjinmakai	Denjin_Makai
detective	The_Detective_(video_game)
devon-aire-in-the-hidden-diamond-caper	Inside_Outing
dig-dug	Dig_Dug
dimahoo	Dimahoo
dimension-x	Dimension_X_(video_game)
dino-eggs	Dino_Eggs
discs-of-tron	Discs_of_Tron
disneys-duck-tales-the-quest-for-gold	DuckTales:_The_Quest_for_Gold
dizzy-down-the-rapids	Dizzy_Down_the_Rapids
dizzy-panic	Dizzy_Panic
dizzy-prince-of-the-yolkfolk	Dizzy_Prince_of_the_Yolkfolk
dizzy-the-ultimate-cartoon-adventure	Dizzy_%E2%80%93_The_Ultimate_Cartoon_Adventure
dj-boy	DJ_Boy
do-run-run	Do!_Run_Run
doc-the-destroyer	Doc_the_Destroyer
doctor-who-and-the-mines-of-terror	Doctor_Who_and_the_Mines_of_Terror
dodonpachi	DoDonPachi
don-doko-don	Don_Doko_Don
donald-ducks-playground	Donald_Duck%27s_Playground
donkey-kong-junior	Donkey_Kong_Jr.
donkey-kong	Donkey_Kong_(video_game)
donpachi	DonPachi
doomdarks-revenge	Doomdark's_Revenge
doomdarks-revenge	Doomdark%27s_Revenge
doriath	Doriath_(video_game)
double-dragon_	Double_Dragon_(video_game)
double-dragon-3-the-rosetta-stone	Double_Dragon_3:_The_Rosetta_Stone
double-dragon-ii-the-revenge	Double_Dragon_II:_The_Revenge
double-dragon	Double_Dragon_(video_game)
dough-boy	Dough_Boy_(video_game)
draconus	Draconus
dracula_	Dracula_(1986_video_game)
drag-race-eliminator	Drag_Race_Eliminator
dragon-breed	Dragon_Breed
dragon-buster	Dragon_Buster
dragon-master	Dragon_Master
dragon-saber-after-story-of-dragon-spirit	Dragon_Saber
dragon-skulle	Dragon_Skulle
dragon-spirit	Dragon_Spirit
dragon-wars	Dragon_Wars
dragonriders-of-pern	Dragonriders_of_Pern_(video_game)
dragons-eye	Dragon%27s_Eye_(video_game)
dragons-lair_	Dragon%27s_Lair_(1983_video_game)
dragons-of-flame	Dragons_of_Flame_(video_game)
dragontorc	Dragontorc
dragonworld	Dragonworld_(video_game)
dreadnaught-factor	The_Dreadnaught_Factor
drelbs	Drelbs
drol	Drol
dropzone	Dropzone
druid	Druid_(video_game)
ducks-ahoy	Ducks_Ahoy!
duel-test-drive-ii	The_Duel:_Test_Drive_II
dukes-of-hazzard_	The_Dukes_of_Hazzard_(video_game)
dun-darach	Dun_Darach
dungeon-adventure	Jewels_of_Darkness
dungeons-dragons-shadow-over-mystara	Dungeons_&_Dragons:_Shadow_over_Mystara
dungeons-dragons-tower-of-doom	Dungeons_&_Dragons:_Tower_of_Doom
dunzhin	Dunzhin
dynamite-dan-ii	Dynamite_Dan_II
dynamite-dan	Dynamite_Dan
dynamite-duke	Dynamite_Duke
dynamite-dx	Dynamite_D%C3%BCx
dynasty-wars	Dynasty_Wars
earth-defense-force	Earth_Defense_Force_(video_game)
earth-orbit-stations	Earth_Orbit_Stations
earthlight	Earthlight_(video_game)
eastern-front-1941	Eastern_Front_(1941)
eco-fighters	Eco_Fighters
eddie-kidd-jump-challenge	Eddie_Kidd_Jump_Challenge
eidolon	The_Eidolon
elevator-action	Elevator_Action
elidon	Elidon
eliminator___	Eliminator_(video_game)
elite	Elite_(video_game)
eliza	ELIZA
elvira-ii-the-jaws-of-cerberus	Elvira_II:_The_Jaws_of_Cerberus
elvira	Elvira:_Mistress_of_the_Dark_(video_game)
emerald-isle	Emerald_Isle_(video_game)
emerald-mine	Emerald_Mine
emeraldia	Emeraldia
emlyn-hughes-international-soccer	Emlyn_Hughes_International_Soccer
empire-city-1931	Empire_City:_1931
empire-of-the-over-mind	Empire_of_the_Overmind
empire	Empire!
enchanter	Enchanter_(video_game)
encounter-	Encounter_(video_game)
enduro-racer_	Enduro_Racer
enduro	Enduro_(video_game)
entombed____	Entombed_(video_game)
epidemic__	Epidemic!
equinox_	Equinox_(1986_video_game)
escape-from-the-planet-of-the-robot-monsters	Escape_from_the_Planet_of_the_Robot_Monsters
eternal-dagger	The_Eternal_Dagger
eureka	Eureka!_(video_game)
europe-ablaze	Europe_Ablaze
european-soccer-challenge	European_Soccer_Challenge
european-superleague	European_Superleague
evening-star	Evening_Star_(video_game)
everest-ascent	Everest_Ascent
everyones-a-wally-the-life-of-wally	Everyone's_A_Wally
everyones-a-wally-the-life-of-wally	Everyone%27s_A_Wally
evil-dead	The_Evil_Dead_(video_game)
excalibur	Excalibur_(video_game)
exile	Exile_(1988_video_game)
exodus-ultima-iii	Ultima_III:_Exodus
exolon	Exolon
expedition-amazon	Expedition_Amazon
exvania	Exvania
eye-of-horus	Eye_of_Horus_(video_game)
f-1-grand-prix	F-1_Grand_Prix_(video_game_series)
f-15-strike-eagle	F-15_Strike_Eagle_(video_game)
face-off	Face_Off_(video_game)
fahrenheit-451	Fahrenheit_451_(video_game)
fairlight-ii	Fairlight_II_(video_game)
fairlight	Fairlight_(video_game)
fairyland-story	The_Fairyland_Story
falcon-patrol-ii	Falcon_Patrol_II
falklands-82	Falklands_'82
falklands-82	Falklands_%2782
fantasia-diamond	Fantasia_Diamond
fantasy-world-dizzy	Fantasy_World_Dizzy
farmers-daughter	The_Farmer%27s_Daughter_(video_game)
fast-food	Fast_Food_(1987_video_game)
fat-worm-blows-a-sparky	Fat_Worm_Blows_a_Sparky
fatal-fury-2	Fatal_Fury_2
fatal-fury-3-road-to-the-final-victory	Fatal_Fury_3:_Road_to_the_Final_Victory
fatal-fury-special	Fatal_Fury_Special
fatal-fury	Fatal_Fury:_King_of_Fighters
felix-in-the-factory	Felix_in_the_Factory
fellowship-of-the-ring	Lord_of_the_Rings:_Game_One
