mobygames_id	world_of_spectrum_id
black-crystal	0000547
black-hawk	0000549
black-hole	0000550
black-lamp	0000551
black-magic_	0000553
black-tower	0006012
black-tower_	0006015
blade-runner_	0000561
blasteroids	0000563
blazing-thunder	0000564
blind-alley	0000566
blinkys-scary-school	0000568
blizzard-pass	0006016
blockade-runner_	0000575
blockbuster	0002453
blockbusters	0000577
blockbusters-gold-run	0000579
blood-brothers	0000584
bloodwych	0000592
blue-max	0000597
blue-thunder	0000600
bmx-freestyle	0009312
bmx-kidz	0000601
bmx-ninja	0000603
bmx-racers_	0000605
bmx-simulator	0009313
bmx-simulator-2	0009314
bob-morane-science-fiction-1	0002847
bobby-bearing	0000606
bobs-full-house	0000610
bobsleigh	0000611
bog-of-brit	0006022
boggit-bored-too	0006023
bomb-fusion	0000627
bomb-jack	0000617
bomb-jack-ii	0000619
bomb-scare	0000628
bomber__	0000972
bomber-bob-in-pentagon-capers	0000623
bongo	0000631
book-of-the-dead	0006033
boot-camp	0001028
booty	0000633
bopn-wrestle	0004207
bored-of-the-rings	0006036
borzak	0000636
bosconian-87	0000637
boulder-dash	0000639
boulder-dash-construction-kit	0000650
boulder-dash-ii-rockfords-revenge	0000642
boulder-dash-iii	0000644
bounces	0000653
bounty-bob-strikes-back	0000660
bounty-hunter_	0006042
boyd-file	0006043
brain-damage	0000673
brainstorm_	0000678
brainstorm____	0000677
bravestarr	0000683
braxx-bluff	0000685
break-away	0000689
breakthru_	0000691
brian-and-the-dishonest-politician	0006044
brian-bloodaxe	0000694
brian-cloughs-football-fortunes	0000696
brian-jacks-superstar-challenge	0000697
brian-the-novice-barbarian	0006046
brick	0000698
bride-of-frankenstein	0000700
british-super-league	0000711
broodslayer	0000717
bruce-lee	0000718
brum-brum	0000721
bubble-bobble	0000722
bubble-dizzy	0009317
bubble-trouble___	0000728
bubbler	0009318
buck-rogers-planet-of-zoom	0000731
bug-eyes	0000742
bugaboo-the-flea	0000739
buggy-ranger	0000746
buggy-ranger	0000750
bugsy	0006050
bulbo-and-the-lizard-king	0006053
bulge-battle-for-antwerp	0000753
bullseye	0000757
bullseye	0000758
bullys-sporting-darts	0000761
bumpy	0000763
bunny-plus-eta	0000765
buriabeast	0000768
buster-bros	0003593
by-fair-means-or-foul	0000776
byte	0006055
byte-bitten	0000777
c5-clive	0000779
cabal	0000780
caesar-the-cat	0000787
caesars-travels	0000788
cagara	0000789
cage-match	0002494
call-me-psycho	0000793
camelot-warriors	0000794
cannon-ball	0000726
cannon-ball	0000797
canyon-warrior	0000798
capitn-sevilla	0000801
captain-america-in-the-doom-tube-of-dr-megalomann	0000808
captain-blood	0000810
captain-dynamo	0009319
captain-kelly	0000812
captain-planet	0000813
captain-slog-	0000815
captain-zapp	0001791
carrier-command	0000825
casanova	0000829
casey-jones	0000831
casino-royal	0000834
casino-royal	0003817
castle-blackstar	0006066
castle-master	0000836
castle-master-castle-master-ii-the-crypt	0000838
castle-of-skull-lord	0006070
catch-23	0000842
caterpilla	0000846
